NUMBER,TICK,TIME,PRESSURE,TEMPERATURE_BMP280,BMP280_ERR,BAR_HEIGHT,LAT,LON,HEIGHT,HASFIX,ADC_HIGH_1,ADC_LOW_1,RESISTANCE_1,ADC_HIGH_2,ADC_LOW_2,RESISTANCE_2,ADC_HIGH_3,ADC_LOW_3,RESISTANCE_3
147,735,754654,98718.0,27.149999618530273,0,217.1229959960346,5643.48681640625,3742.949462890625,146.89999389648438,1,39497,57258,199993,39460,57227,199993,39449,57219,199993
148,740,756927,98718.0,27.149999618530273,0,217.1229959960346,5643.48681640625,3742.949462890625,147.0,1,39500,57260,199993,39456,57227,199993,39450,57219,199993
149,745,759164,98718.0,27.149999618530273,0,217.1229959960346,5632.00341796875,0.0,147.1999969482422,1,39498,57259,199993,39462,57227,199993,39451,57220,199993
150,750,761399,98716.0,27.139999389648438,0,217.2929511814915,5643.4873046875,3742.949462890625,147.3000030517578,1,39517,57259,199993,39458,57227,199993,39448,57220,199993
151,755,763692,98722.0,27.139999389648438,0,216.78309398898432,5643.4873046875,3742.949462890625,147.1999969482422,1,39496,57260,199993,39460,57227,199993,39450,57219,199993
152,760,765950,98720.0,27.149999618530273,0,216.95304359856829,5643.48681640625,3742.949462890625,147.10000610351562,1,39495,57259,199993,39459,57226,199993,39449,57219,199993
153,765,768186,98720.0,27.139999389648438,0,216.95304359856829,5643.4873046875,3742.949462890625,147.3000030517578,1,39500,57259,199993,39459,57227,199993,39451,57218,199993
154,770,770451,98718.0,27.15999984741211,0,217.1229959960346,5632.00146484375,0.0,147.39999389648438,1,39498,57261,199993,39458,57227,199993,39450,57220,199993
155,775,772711,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.949462890625,147.1999969482422,1,39497,57259,199993,39457,57227,199993,39451,57219,199993
156,780,774948,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.94921875,147.10000610351562,1,39496,57259,199993,39458,57227,199993,39449,57218,199993
157,785,777214,98721.0,27.149999618530273,0,216.86806844529346,5643.48681640625,3742.94921875,146.6999969482422,1,39498,57259,199993,39459,57227,199993,39449,57220,199993
158,790,779451,98720.0,27.149999618530273,0,216.95304359856829,5632.001953125,0.0,146.5,1,39499,57260,199993,39459,57227,199993,39449,57219,199993
159,795,781701,98720.0,27.149999618530273,0,216.95304359856829,5632.001953125,0.0,146.1999969482422,1,39496,57259,199993,39458,57227,199993,39450,57219,199993
160,800,783979,98720.0,27.139999389648438,0,216.95304359856829,5643.48681640625,3742.94921875,146.0,1,39496,57260,199993,39457,57227,199993,39450,57219,199993
161,805,786250,98716.0,27.149999618530273,0,217.2929511814915,5643.48681640625,3742.94921875,145.8000030517578,1,39499,57260,199993,39458,57228,199993,39450,57219,199993
162,810,788487,98718.0,27.15999984741211,0,217.1229959960346,5643.48681640625,3742.94921875,145.6999969482422,1,39498,57259,199993,39459,57228,199993,39451,57220,199993
